"DOW_up_UE_up","Freq","StatValue"
"HD_dailyChange","Median :   2.790  ",2.79
"JPM_dailyChange","Median :  1.840  ",1.84
"CVX_dailyChange","Median :  3.410  ",3.41
"NSANY_dailyChange","Median :  0.2600  ",0.26
"HST_dailyChange","Median :  0.1700  ",0.17
"WWE_dailyChange","Median :  0.290  ",0.29
"SCE.PB_dailyChange","Median :  16.000  ",16
"FFIN_dailyChange","Median :  0.8500  ",0.85
"GOOG_dailyChange","Median :   32.93  ",32.93
"WM_dailyChange","Median :  2.970  ",2.97
"COST_dailyChange","Median :  12.580  ",12.58
"AAL_dailyChange","Median :  0.0500  ",0.05
"AMZN_dailyChange","Median :   40.42  ",40.42
"RRGB_dailyChange","Median :  1.02  ",1.02
"ADDYY_dailyChange","Median :   3.770  ",3.77
"PCG_dailyChange","Median :  0.700  ",0.7
"ROST_dailyChange","Median :   1.9225  ",1.9225
"JNJ_dailyChange","Median :  0.850  ",0.85
"NFLX_dailyChange","Median :   2.124  ",2.124
"M_dailyChange","Median :  1.1500  ",1.15
"DLTR_dailyChange","Median :  2.647  ",2.647
"WMT_dailyChange","Median :  0.540  ",0.54
"AAP_dailyChange","Median :   4.3000  ",4.3
"MSFT_dailyChange","Median :   6.110  ",6.11
"TJX_dailyChange","Median :  1.8675  ",1.8675
"NKE_dailyChange","Median :  2.765  ",2.765
