"DOW_up_UE_up","Freq","StatValue"
"FTR_dailyChange","Mean   : 13.59  ",13.59
"UBSI_dailyChange","Mean   :  0.489  ",0.489
"XOM_dailyChange","Mean   :  1.085  ",1.085
"NSANY_dailyChange","Mean   :  0.1368  ",0.1368
"TEVA_dailyChange","Mean   :  3.095  ",3.095
"HST_dailyChange","Mean   :  0.1865  ",0.1865
"WWE_dailyChange","Mean   :  1.587  ",1.587
"INO_dailyChange","Mean   :  0.3177  ",0.3177
"SCE.PB_dailyChange","Mean   :   6.774  ",6.774
"ONCY_dailyChange","Mean   :  2.146  ",2.146
"S_dailyChange","Mean   :  0.3581  ",0.3581
"F_dailyChange","Mean   : 0.129  ",0.129
"ARWR_dailyChange","Mean   :  1.236  ",1.236
"HMC_dailyChange","Mean   : 0.7997  ",0.7997
"T_dailyChange","Mean   :  0.02839  ",0.02839
"PCG_dailyChange","Mean   :  3.108  ",3.108
"KSS_dailyChange","Mean   :  1.922  ",1.922
"C_dailyChange","Mean   :  11.267  ",11.267
"AAP_dailyChange","Mean   :   0.7365  ",0.7365
"KGJI_dailyChange","Mean   : 0.2361  ",0.2361
