"","FTR.Close","UBSI.Close","INO.Close","GRPN.Close","FFIN.Close","GOOG.Close","ONCY.Close","ARWR.Close","COST.Close","AAL.Close","CSSEP.Close","MSFT.Close","DLTR.Close","KGJI.Close","AMZN.Close","ROST.Close","TMUS.Close","PBYI.Close","NFLX.Close","HOFT.Close","SDC.Close","RRGB.Close","JBLU.Close"
"1",215.399994,39.049999,13.16,NA,6.996666,232.921951,21.945,44,52.84,56.299999,NA,29.860001,10.23,1.1,38.700001,7.6225,NA,NA,3.801429,15.47,NA,35,15.2
"2",212.25,39.139999,13.2,NA,7.105,240.727692,22.325001,44.200001,54.07,58.84,NA,29.809999,10.216666,1.1,38.900002,7.8025,NA,NA,3.621428,15.17,NA,34.790001,15.38
"3",211.649994,37.82,13.2,NA,6.836667,242.685349,22.23,44,53.41,58.290001,NA,29.639999,10.676666,1.6,38.369999,7.8525,NA,NA,3.544286,14.93,NA,33.790001,14.99
"4",212.25,37.959999,13.2,NA,6.84,240.8871,23.370001,43.200001,53.630001,57.93,NA,29.93,10.67,1.42,37.5,7.8975,NA,NA,3.404286,14.94,NA,33.700001,15.14
"5",211.050003,37.619999,13.52,NA,6.82,241.843506,24.51,41,54.029999,57.900002,NA,29.959999,10.653334,1.42,37.779999,7.995,NA,NA,3.427143,14.91,NA,33.970001,15.21
"6",210.600006,37.34,13.48,NA,6.8,243.816116,25.459999,39.98,54.41,58.93,NA,29.66,10.67,1.42,37.150002,8.03,NA,NA,3.438571,14.89,NA,34.360001,15.87
"7",212.25,37.389999,13.6,NA,6.916667,248.926956,25.555,40.360001,55.32,61.200001,NA,30.700001,10.696667,1.36,37.400002,8.035,NA,NA,3.462857,15.2,NA,34.860001,16.09
"8",213,37.279999,13.56,NA,6.875,251.557098,25.27,40.27,55.950001,60.810001,NA,31.209999,10.7,1.3,38.200001,8.3225,NA,NA,3.244286,15.41,NA,34.779999,16.57
"9",215.100006,36.77,13.4,NA,6.861667,251.198441,25.459999,40.900002,56.240002,61.959999,NA,31.16,10.666667,1.3,38.66,8.3425,NA,NA,3.248571,15.33,NA,34.779999,16.620001
"10",213.300003,36.349998,13.04,NA,6.77,247.711517,25.745001,42.099998,56.68,58.650002,NA,31.1,10.543333,1.3,37.880001,8.275,NA,NA,3.261429,15.31,NA,34.279999,15.71
"11",215.850006,36.330002,12.76,NA,6.695,243.004166,25.27,40.66,56.900002,57.830002,NA,31,10.576667,1.3,36.98,8.2475,NA,NA,3.178571,15.43,NA,34.68,15.47
"12",214.199997,36.689999,12.72,NA,6.785,243.960571,24.605,40.48,56.77,58.290001,NA,31.110001,10.533334,1.3,37.02,8.0875,NA,NA,3.222857,15.55,NA,34.459999,15.76
"13",214.199997,36.25,12.8,NA,6.75,239.522217,23.655001,39.66,56.34,57.029999,NA,30.719999,10.5,1.3,36.950001,8.0175,NA,NA,3.128572,15.52,NA,33.939999,15.46
"14",217.350006,36.380001,12.48,NA,6.76,238.630554,24.035,38.759998,56.439999,53.27,NA,30.74,10.47,1.3,36.43,7.99,NA,NA,3.108572,15.52,NA,34.189999,15.08
"15",217.199997,36.889999,12.76,NA,6.816667,248.60318,24.51,38.099998,57.060001,53.349998,NA,31.09,10.536667,1.3,37.259998,8.045,NA,NA,3.25,15.69,NA,34,15.04
"16",214.649994,36.349998,12.96,NA,6.731667,243.133682,26.030001,39.099998,55.73,53.860001,NA,30.450001,10.253333,1.3,37.080002,7.9625,NA,NA,3.321429,15.28,NA,33.599998,14.78
"17",216.300003,36.27,13,NA,6.745,246.994202,26.885,40.200001,55.360001,52.130001,NA,30.6,10.283334,1.3,36.849998,8,NA,NA,3.307143,15.01,NA,33.560001,14.38
"18",216.449997,35.919998,13,NA,6.83,245.315491,27.549999,41.259998,55.27,54.43,NA,30.530001,10.423333,1.3,37.43,7.9925,NA,NA,3.221429,15.04,NA,33.689999,14.5
"19",219.149994,36.27,12.96,NA,6.876667,246.237045,27.17,41.060001,55.299999,53.099998,NA,30.48,10.37,1.5,37.049999,8.075,NA,NA,3.275714,15.49,NA,33.900002,13.85
"20",219.899994,36.52,12.88,NA,6.87,249.813644,26.030001,41.16,56.16,55.98,NA,30.860001,10.483334,1.5,37.669998,8.0975,NA,NA,3.258571,15.63,NA,35.75,13.68
"21",219.149994,36.73,13.08,NA,6.908333,239.97551,26.030001,40.560001,56.389999,57.990002,NA,30.559999,10.553333,1.5,38.700001,8.175,NA,NA,3.247143,16,NA,35.580002,13.83
"22",221.100006,36.869999,12.64,NA,6.873333,239.850983,26.030001,40.689999,56.009998,57.98,NA,30.190001,10.58,1.5,37.389999,8.15,NA,NA,3.262857,15.76,NA,36.75,13.65
"23",221.550003,36.810001,12.52,NA,6.856667,232.707748,25.934999,38.599998,56.209999,58.41,NA,29.610001,10.533334,1.3,37.16,8.0025,NA,NA,3.228571,15.46,NA,36.360001,13.57
"24",220.5,36.950001,12.48,NA,6.83,234.859695,22.514999,39.779999,56.57,58.310001,NA,29.51,10.533334,1.3,38.27,8.05,NA,NA,3.188571,15.43,NA,36.389999,13.69
"25",220.5,37.110001,12,NA,6.958333,234.127426,22.895,39.860001,57.130001,58.080002,NA,29.370001,10.603333,1.3,38.98,8.1,NA,NA,3.271429,15.59,NA,37.009998,13.42
"26",221.699997,36.990002,12,NA,7.08,234.635529,22.42,40.68,56.619999,59.310001,NA,29.26,11.15,1.3,39.099998,8.2225,NA,NA,3.392857,15.65,NA,37.220001,13.3
"27",220.199997,36.57,12.04,NA,7.031667,230.082596,21.375,40.599998,55.98,58.139999,NA,28.98,11.103333,1.3,38.720001,8.19,NA,NA,3.301429,18.299999,NA,37.029999,12.92
"28",218.550003,36.82,11.28,NA,7.011667,228.289322,20.805,40.68,55.799999,58.880001,NA,28.940001,10.996667,1.3,38.849998,8.2,NA,NA,3.304286,18.129999,NA,37.07,13.13
"29",220.5,37.110001,11.92,NA,7.08,228.69281,20.52,39.98,56.459999,59.169998,NA,29.01,11.1,1.6,39.310001,8.35,NA,NA,3.271429,17.66,NA,37.09,12.99
"30",223.350006,37.110001,11.92,NA,6.97,232.095047,20.615,41.490002,57.049999,57.790001,NA,29.4,11.333333,1.6,40.139999,8.6575,NA,NA,3.228571,17.950001,NA,37.48,13.23
"31",226.199997,36.959999,11.88,NA,7.048333,229.873383,20.33,40.700001,57.900002,57.400002,NA,29.459999,11.376667,1.6,40.060001,8.6975,NA,NA,3.214286,17.99,NA,37.580002,13.85
"32",224.100006,37.16,12.08,NA,7.098333,234.09256,20.139999,40.279999,57.799999,56.700001,NA,28.74,11.39,1.5,40.330002,8.7025,NA,NA,3.267143,18.940001,NA,37.59,13.56
"33",225.149994,37.450001,12.32,NA,7.165,235.168533,20.235001,39.900002,58.279999,56.380001,NA,28.83,11.516666,1.5,41.509998,8.6275,NA,NA,3.358572,19.16,NA,37.900002,12.9
"34",224.550003,37.41,12.8,NA,7.121666,237.041504,20.424999,40.080002,58.18,55.73,NA,29.35,11.523334,1.5,41.259998,8.6125,NA,NA,3.341429,19.76,NA,38.099998,13.19
"35",225.449997,37.540001,12.8,NA,7.178333,237.03653,20.52,39.299999,58.09,54.619999,NA,29.389999,11.41,1.3,41,8.56,NA,NA,3.392857,19.950001,NA,38.16,13.16
"36",222.899994,37.18,13.04,NA,7.175,234.43129,20.33,39.099998,57.470001,54.25,NA,28.9,11.35,1.3,40.779999,8.53,NA,NA,3.361428,19.719999,NA,41.049999,13.08
"37",224.550003,37.060001,13.12,NA,7.228333,231.596924,20.235001,38.599998,57.400002,53.34,NA,29.07,11.393333,1.4,40.880001,8.4725,NA,NA,3.304286,19.700001,NA,40.139999,12.75
"38",217.949997,35.669998,13.12,NA,7.011667,223.547089,19.190001,37.799999,55.400002,51.790001,NA,27.870001,10.996667,1.02,38.830002,8.23,NA,NA,3.157143,19.110001,NA,39.009998,12.29
"39",225.899994,35.57,12.92,NA,6.988333,223.885818,19,37.900002,55.889999,52.290001,NA,28.17,11.37,1.4,39.139999,8.1925,NA,NA,3.218571,18.85,NA,39.48,12.31
"40",222.600006,36,12.64,NA,6.93,223.278091,17.955,38.779999,56,52.080002,NA,28.09,11.456667,1.4,38.849998,8.1575,NA,NA,3.261429,19.24,NA,39.130001,12.21
"41",222,35.740002,12.32,NA,6.743333,218.520935,19.094999,38.099998,55.75,50.650002,NA,27.76,11.42,1.4,37.689999,8.08,NA,NA,3.184286,19,NA,37.630001,11.91
"42",219,35.040001,11.84,NA,6.676667,219.651688,17.955,36,55.25,50.09,NA,27.549999,11.24,1.4,37.049999,7.94,NA,NA,3.008571,18.950001,NA,37.009998,11.58
"43",222.149994,35.48,12,NA,6.941667,227.9207,19.57,37,55.720001,50.23,NA,27.83,11.536667,1.4,38.580002,7.9525,NA,NA,3.062857,19.25,NA,38.099998,11.82
"44",216.600006,35.060001,12.28,NA,6.731667,226.969269,19.665001,37,56.119999,49.349998,NA,27.610001,11.643333,1.4,38.360001,7.98,NA,NA,3.025714,19.280001,NA,37.639999,11.74
"45",218.25,35.139999,12.4,NA,6.71,226.510986,19.475,36.900002,54.259998,49.310001,NA,27.32,11.81,1.4,38.099998,8.025,NA,NA,3.034286,19.33,NA,37.75,11.83
"46",216.899994,35.23,12.8,NA,6.76,225.634262,19.379999,37.799999,54.34,48.93,NA,27.290001,11.886666,1.4,38.84,8.1175,NA,NA,3.008571,19.879999,NA,38.380001,11.62
"47",219.75,35.18,12.56,NA,6.773334,226.525925,19.094999,36.700001,53.650002,49.450001,NA,27.440001,12.22,1.4,38.810001,8.21,NA,NA,3.011429,19.92,NA,38.5,11.87
"48",217.350006,33.93,12.52,NA,6.686666,220.687805,18.525,36.299999,52.959999,47.439999,NA,26.719999,11.946667,1.4,37.82,7.95,NA,NA,2.935714,19.43,NA,36.950001,11.87
"49",216.75,34.360001,12.52,NA,6.863333,223.163528,18.24,37.200001,52.529999,45.779999,NA,27.4,11.853333,1.4,38.080002,7.865,NA,NA,3.015714,19.49,NA,36.869999,11.75
"50",214.800003,34.759998,12.44,NA,6.95,222.261902,18.049999,36.900002,53.189999,46.540001,NA,27.280001,11.993333,1.4,37.779999,7.885,NA,NA,3.022857,19.35,NA,36.950001,11.9
"51",214.649994,34.41,12.6,NA,6.835,219.601883,17.860001,38.700001,52.98,46.389999,NA,27.33,11.86,1.4,37.849998,7.905,NA,NA,3.002857,19.219999,NA,35.900002,11.69
"52",216.149994,34.869999,12.32,NA,6.878334,222.779968,18.620001,38.290001,53.240002,47.860001,NA,27.83,12.013333,1.1,38.450001,8.1225,NA,NA,3.051429,19.219999,NA,36.669998,11.8
"53",217.5,35.209999,12.28,NA,6.883333,221.808609,18.24,40.299999,53.18,48.529999,NA,27.84,12.073334,1.1,38.580002,8.3325,NA,NA,3.211429,19.34,NA,36.080002,11.97
"54",221.399994,35.939999,12,NA,6.936666,227.422562,18.809999,38.200001,54.34,49.41,NA,28.52,12.286667,1.1,39.799999,8.3375,NA,NA,3.292857,20.15,NA,36.59,12.21
