"","FTR.Close","UBSI.Close","INO.Close","FFIN.Close","GOOG.Close","ONCY.Close","ARWR.Close","COST.Close","AAL.Close","MSFT.Close","DLTR.Close","KGJI.Close","AMZN.Close","ROST.Close","NFLX.Close","HOFT.Close","RRGB.Close","JBLU.Close"
"1",215.399994,39.049999,13.16,6.996666,232.921951,21.945,44,52.84,56.299999,29.860001,10.23,1.1,38.700001,7.6225,3.801429,15.47,35,15.2
"2",212.25,39.139999,13.2,7.105,240.727692,22.325001,44.200001,54.07,58.84,29.809999,10.216666,1.1,38.900002,7.8025,3.621428,15.17,34.790001,15.38
"3",211.649994,37.82,13.2,6.836667,242.685349,22.23,44,53.41,58.290001,29.639999,10.676666,1.6,38.369999,7.8525,3.544286,14.93,33.790001,14.99
"4",212.25,37.959999,13.2,6.84,240.8871,23.370001,43.200001,53.630001,57.93,29.93,10.67,1.42,37.5,7.8975,3.404286,14.94,33.700001,15.14
"5",211.050003,37.619999,13.52,6.82,241.843506,24.51,41,54.029999,57.900002,29.959999,10.653334,1.42,37.779999,7.995,3.427143,14.91,33.970001,15.21
"6",210.600006,37.34,13.48,6.8,243.816116,25.459999,39.98,54.41,58.93,29.66,10.67,1.42,37.150002,8.03,3.438571,14.89,34.360001,15.87
"7",212.25,37.389999,13.6,6.916667,248.926956,25.555,40.360001,55.32,61.200001,30.700001,10.696667,1.36,37.400002,8.035,3.462857,15.2,34.860001,16.09
"8",213,37.279999,13.56,6.875,251.557098,25.27,40.27,55.950001,60.810001,31.209999,10.7,1.3,38.200001,8.3225,3.244286,15.41,34.779999,16.57
"9",215.100006,36.77,13.4,6.861667,251.198441,25.459999,40.900002,56.240002,61.959999,31.16,10.666667,1.3,38.66,8.3425,3.248571,15.33,34.779999,16.620001
"10",213.300003,36.349998,13.04,6.77,247.711517,25.745001,42.099998,56.68,58.650002,31.1,10.543333,1.3,37.880001,8.275,3.261429,15.31,34.279999,15.71
"11",215.850006,36.330002,12.76,6.695,243.004166,25.27,40.66,56.900002,57.830002,31,10.576667,1.3,36.98,8.2475,3.178571,15.43,34.68,15.47
"12",214.199997,36.689999,12.72,6.785,243.960571,24.605,40.48,56.77,58.290001,31.110001,10.533334,1.3,37.02,8.0875,3.222857,15.55,34.459999,15.76
"13",214.199997,36.25,12.8,6.75,239.522217,23.655001,39.66,56.34,57.029999,30.719999,10.5,1.3,36.950001,8.0175,3.128572,15.52,33.939999,15.46
"14",217.350006,36.380001,12.48,6.76,238.630554,24.035,38.759998,56.439999,53.27,30.74,10.47,1.3,36.43,7.99,3.108572,15.52,34.189999,15.08
"15",217.199997,36.889999,12.76,6.816667,248.60318,24.51,38.099998,57.060001,53.349998,31.09,10.536667,1.3,37.259998,8.045,3.25,15.69,34,15.04
"16",214.649994,36.349998,12.96,6.731667,243.133682,26.030001,39.099998,55.73,53.860001,30.450001,10.253333,1.3,37.080002,7.9625,3.321429,15.28,33.599998,14.78
"17",216.300003,36.27,13,6.745,246.994202,26.885,40.200001,55.360001,52.130001,30.6,10.283334,1.3,36.849998,8,3.307143,15.01,33.560001,14.38
"18",216.449997,35.919998,13,6.83,245.315491,27.549999,41.259998,55.27,54.43,30.530001,10.423333,1.3,37.43,7.9925,3.221429,15.04,33.689999,14.5
"19",219.149994,36.27,12.96,6.876667,246.237045,27.17,41.060001,55.299999,53.099998,30.48,10.37,1.5,37.049999,8.075,3.275714,15.49,33.900002,13.85
"20",219.899994,36.52,12.88,6.87,249.813644,26.030001,41.16,56.16,55.98,30.860001,10.483334,1.5,37.669998,8.0975,3.258571,15.63,35.75,13.68
"21",219.149994,36.73,13.08,6.908333,239.97551,26.030001,40.560001,56.389999,57.990002,30.559999,10.553333,1.5,38.700001,8.175,3.247143,16,35.580002,13.83
"22",221.100006,36.869999,12.64,6.873333,239.850983,26.030001,40.689999,56.009998,57.98,30.190001,10.58,1.5,37.389999,8.15,3.262857,15.76,36.75,13.65
"23",221.550003,36.810001,12.52,6.856667,232.707748,25.934999,38.599998,56.209999,58.41,29.610001,10.533334,1.3,37.16,8.0025,3.228571,15.46,36.360001,13.57
"24",220.5,36.950001,12.48,6.83,234.859695,22.514999,39.779999,56.57,58.310001,29.51,10.533334,1.3,38.27,8.05,3.188571,15.43,36.389999,13.69
"25",220.5,37.110001,12,6.958333,234.127426,22.895,39.860001,57.130001,58.080002,29.370001,10.603333,1.3,38.98,8.1,3.271429,15.59,37.009998,13.42
"26",221.699997,36.990002,12,7.08,234.635529,22.42,40.68,56.619999,59.310001,29.26,11.15,1.3,39.099998,8.2225,3.392857,15.65,37.220001,13.3
"27",220.199997,36.57,12.04,7.031667,230.082596,21.375,40.599998,55.98,58.139999,28.98,11.103333,1.3,38.720001,8.19,3.301429,18.299999,37.029999,12.92
"28",218.550003,36.82,11.28,7.011667,228.289322,20.805,40.68,55.799999,58.880001,28.940001,10.996667,1.3,38.849998,8.2,3.304286,18.129999,37.07,13.13
"29",220.5,37.110001,11.92,7.08,228.69281,20.52,39.98,56.459999,59.169998,29.01,11.1,1.6,39.310001,8.35,3.271429,17.66,37.09,12.99
"30",223.350006,37.110001,11.92,6.97,232.095047,20.615,41.490002,57.049999,57.790001,29.4,11.333333,1.6,40.139999,8.6575,3.228571,17.950001,37.48,13.23
