"","FTR.Close","UBSI.Close","INO.Close","GRPN.Close","FFIN.Close","GOOG.Close","ONCY.Close","ARWR.Close","COST.Close","AAL.Close","CSSEP.Close","MSFT.Close","DLTR.Close","KGJI.Close","AMZN.Close","ROST.Close","TMUS.Close","PBYI.Close","NFLX.Close","HOFT.Close","SDC.Close","RRGB.Close","JBLU.Close"
"1",1.15,39.529999,2.61,2.89,33.09,1234.25,0.65,30.139999,289.890015,29.940001,25.181999,137.520004,111.940002,0.65,1843.550049,109.360001,79.690002,11.59,288.859985,20.959999,16.67,34.389999,17.16
"2",1.05,39.52,2.59,2.93,33.299999,1239.560059,0.64,29.950001,291.899994,29.950001,25.299,137.320007,112.860001,0.68,1839.339966,109.129997,79.400002,11.3,294.149994,20.969999,18.68,34.779999,17.389999
"3",1.14,38.990002,2.69,2.98,33.529999,1231.300049,0.71,29.440001,288.690002,27.77,25.208,136.330002,109.559998,0.68,1807.839966,107.589996,79.559998,11.77,294.290009,21.16,18.9,35.25,16.860001
"4",1.14,38.709999,2.51,2.92,33.200001,1229.150024,0.73,29.540001,291.410004,28.639999,25.16,137.389999,111.040001,0.69,1822.550049,108.139999,80.209999,11.66,298.600006,21.190001,19.07,35.279999,17.139999
"5",1.09,38.970001,2.51,2.86,33.48,1232.410034,0.72,29.280001,292.429993,28.6,25.190001,138.520004,112.260002,0.65,1817.459961,108.709999,80.120003,11.19,291.559998,20.99,19.48,34.650002,17.27
"6",1.01,38.619999,2.43,2.85,33.110001,1238.709961,0.71,29.09,287.829987,28.299999,25.129999,141.070007,111.739998,0.63,1821.5,108.610001,81,11.17,286.600006,20.75,18.639999,34.470001,17.110001
"7",1.01,38.389999,2.48,2.82,33.259998,1229.930054,0.72,28.860001,286.359985,27.99,25.15,139.440002,111.07,0.63,1794.160034,104.75,80.589996,10.82,270.75,20.860001,18.25,34.07,16.92
"8",1.04,38.73,2.33,2.81,33.18,1234.030029,0.67,28.879999,287.570007,27.5,25.120001,139.139999,113.419998,0.62,1785.300049,107.029999,79.959999,11.91,265.920013,21.309999,17.15,34.029999,16.77
"9",0.97,38.049999,2.19,2.72,32.91,1218.76001,0.64,28.08,287.910004,27,25.4,137.380005,113.370003,0.62,1741.609985,107.639999,79.360001,12.1,254.589996,21.15,15.68,33.900002,16.629999
"10",0.93,38.740002,2.15,2.8,33.689999,1246.52002,0.64,28.26,288.51001,27.440001,25.302999,139.360001,112.949997,0.62,1768.329956,108.239998,79.809998,12.03,264.75,21.200001,14.505,33.889999,16.860001
