"","TGT.Close","HD.Close","JPM.Close","XOM.Close","CVX.Close","MGM.Close","TEVA.Close","HST.Close","FCAU.Close","WFC.Close","WWE.Close","QSR.Close","SCE.PB.Close","WM.Close","S.Close","GM.Close","F.Close","JWN.Close","NUS.Close","AMC.Close","KSS.Close","LUV.Close","HMC.Close","PCG.Close","NKE.Close","WMT.Close","TJX.Close","TM.Close","T.Close","JNJ.Close","C.Close","EPD.Close","VZ.Close","HRB.Close","AAP.Close","SIG.Close","M.Close","YELP.Close"
"1",73.529999,100.269997,61.139999,89.199997,104.910004,20.540001,56.84,23.73,7.355263,54.43,11.39,36.709999,20.950001,49.07,4.4,32.189999,15.28,74.190002,42.939999,24.860001,56.900002,41.919998,30.059999,52.93,48.465,83.830002,32.799999,126.089996,32.709999,106.720001,54.509998,33.93,46.360001,31.76,159.160004,127.25,61.220001,52.450001
"2",72.400002,99.779999,60.040001,86.599998,102.379997,20.18,55.919998,23.379999,7.473684,53.700001,11.23,35.41,20.780001,48.5,4.08,31.57,14.99,74.650002,40.16,24.91,57.27,41.41,29.34,52.07,48.084999,83.809998,32.805,124.540001,32.16,104.43,53.400002,33.18,45.580002,31.959999,160.25,126.949997,62.360001,52.700001
"3",73.199997,100.050003,59.16,86.900002,100.860001,19.82,55.619999,23.25,7.506579,53.189999,10.83,35.290001,21.02,49.099998,4.05,31,14.28,75.43,38.740002,24.93,58.02,41.580002,28.93,52.34,47.715,83.940002,33.154999,121.550003,32.25,103.959999,52.790001,32.360001,45.419998,32.130001,161.009995,127.110001,63.130001,53.259998
"4",72.279999,97.059998,58.43,86.410004,101.699997,18.85,55.150002,23.33,7.55921,52.77,10.89,35.459999,20.559999,49.389999,3.81,30.73,14.09,74.839996,39.07,24.200001,57.18,39.580002,28.870001,51.939999,46.605,82.959999,32.509998,121.940002,32.139999,102.760002,51.169998,33.540001,45.529999,31.6,157.009995,124.839996,62.009998,50.040001
"5",73.57,98.940002,59.77,89.019997,106.019997,18.01,55.75,23.860001,7.532895,53.790001,11.02,36.169998,20.9,49.549999,3.97,31.15,14.45,75.769997,39.509998,25.4,57.639999,40.119999,29.809999,52.73,47.25,84.230003,32.68,123.220001,32.669998,104.07,52.450001,34.91,46.439999,32.82,159.550003,127.300003,62.759998,51.900002
"6",74.639999,100.669998,61.48,91.160004,109.029999,19.4,56.650002,23.879999,7.592105,55.209999,11.08,38.169998,21.950001,50.860001,4.08,31.75,14.81,77.519997,41.52,25.91,59.450001,40.619999,30.139999,53.450001,48.540001,85.940002,33.540001,124.739998,33.509998,106.809998,54.099998,34.549999,47.049999,33.5,160.740005,129.740005,64.07,52.490002
"7",73.949997,101.93,61.93,93.639999,112.93,20.33,58,23.9,7.664474,54.450001,11.4,41.900002,20.84,50.779999,4.16,32.810001,15.03,77.099998,43.549999,26.17,59.59,40.259998,30.33,53.060001,47.419998,85.160004,33.040001,127.010002,33.540001,105.550003,54.009998,34.130001,47.02,34.490002,159.850006,129.869995,62.59,54.59
"8",74.5,103.5,61.939999,93.330002,112.029999,20.280001,58.259998,24.33,7.677631,54.970001,11.79,39.68,21.48,51.119999,4.21,33.23,15.22,77.519997,43.27,26.48,60.57,41.259998,30.200001,53.220001,47.965,86.379997,33.630001,126.639999,33.849998,106.739998,53.959999,34.619999,47.509998,33.75,159.440002,129.309998,63.459999,53
"9",74.690002,103.760002,62.48,94.589996,113.949997,20.940001,56.759998,24.299999,7.769737,55.470001,11.95,39.259998,20.969999,51.209999,4.24,33.560001,15.33,78.720001,44.490002,26.82,61.540001,40.98,30.23,53.27,47.985001,86.660004,34.060001,126.760002,34.029999,104.279999,54.419998,35.200001,47.669998,33.799999,161.190002,131.050003,64.040001,53.360001
"10",74.650002,103.559998,62.48,93.779999,113.470001,20.77,57.09,24.23,7.81579,55.34,12.12,39.290001,20.559999,51.16,4.19,33.43,15.3,78.139999,45.27,26.620001,60.459999,41.66,30.370001,54.459999,48.145,86.43,33.935001,126.760002,33.959999,104.589996,54.540001,35.450001,47.669998,33.720001,160.229996,130.649994,64.260002,53
