stockSymbol,stockName,dailyClose,volatility,avgVolume
A,Agilent Technolog...,65.76,34.988,"2,515,221"
AA,Alcoa Inc.,5.83,121.188,"7,431,897"
AAC,"AAC Holdings, Inc.",0.48,99.106,"279,165"
AACG,ATA Creativity Gl...,0.74,45.638,"25,584"
AAL,American Airlines...,10.29,97.428,"24,309,238"
AAMC,Altisource Asset ...,11.12,91.945,"7,226"
AAME,Atlantic American...,2.4,21.125,"2,645"
AAN,"Aaron's, Inc.",18.24,93.671,"1,144,249"
AAOI,Applied Optoelect...,6.55,86.823,"920,985"
AAON,"AAON, Inc.",49.17,36.756,"245,186"
AAP,Advance Auto Part...,85.97,55.377,"1,199,094"
AAPL,Apple Inc.,244.78,29.471,"47,338,910"
AAT,American Assets T...,22.53,84.634,"364,641"
AAU,"Almaden Minerals,...",0.27,69.059,"362,489"
AAWW,Atlas Air Worldwi...,21.89,66.968,"728,325"
AAXN,"Axon Enterprise, ...",62.01,59.716,"769,060"
AB,Allianceberstein ...,19.3,81.158,"648,296"
ABB,ABB Ltd,16.01,53.812,"2,348,388"
ABBV,AbbVie Inc.,71.06,33.408,"11,980,771"
ABC,AmerisourceBergen...,86,19.962,"1,914,269"
ABCB,Ameris Bancorp,22.6,80.504,"452,053"
ABDC,Alcentra Capital ...,8.9,6.583,"36,624"
ABEO,Abeona Therapeuti...,1.78,119.651,"1,706,551"
ABEV,Ambev S.A.,2.34,65.388,"36,459,505"
ABG,Asbury Automotive...,48.98,98.882,"250,087"
ABIL,Ability Inc.,0.36,64.061,"339,223"
ABIO,"ARCA biopharma, Inc.",2.58,73.091,"40,486"
ABM,ABM Industries In...,24.06,55.867,"381,575"
ABMD,"ABIOMED, Inc.",140.51,21.134,"946,980"
ABR,Arbor Realty Trust,4.48,116.594,"1,845,228"
ABT,Abbott Laboratories,74.5,16.532,"7,368,234"
ABTX,Allegiance Bancsh...,27.14,57.528,"114,156"
ABUS,Arbutus Biopharma...,1.75,98.724,"621,032"
AC,Associated Capita...,32.89,37.951,"16,579"
ACA,"Arcosa, Inc.",30.34,46.124,"320,651"
ACAD,ACADIA Pharmaceut...,34.76,40.691,"1,415,721"
ACAM,Acamar Partners A...,9.52,7.853,"173,947"
ACAMU,Acamar Partners A...,9.8,6.945,"13,536"
ACB,Aurora Cannabis Inc.,0.66,122.461,"29,775,812"
ACBI,Atlantic Capital ...,10.96,71.398,"87,231"
ACC,American Campus C...,24.07,83.203,"1,067,763"
ACCO,Acco Brands Corpo...,4.13,88.63,"642,972"
ACEL,Accel Entertainme...,6,82.918,"187,578"
ACER,Acer Therapeutics...,1.39,101.187,"80,030"
ACGL,Arch Capital Grou...,27.06,67.186,"1,735,811"
ACGLO,Arch Capital Grou...,16.81,46.622,"37,048"
ACGLP,Arch Capital Grou...,16.4,44.46,"51,754"
ACH,Aluminum Corporat...,5.29,41.235,"50,934"
ACHC,Acadia Healthcare...,14.68,106.106,"820,281"
ACHN,Achillion Pharmac...,6.76,9.656,"3,952,638"
ACHV,Achieve Life Scie...,0.3,86.996,"1,852,181"
ACIU,AC Immune SA,4.68,80.619,"158,942"
ACIW,"ACI Worldwide, Inc.",23.87,42.58,"811,166"
ACLS,Axcelis Technolog...,13.42,63.616,"303,949"
ACM,Aecom Technology ...,25.6,89.104,"2,398,043"
ACMR,"ACM Research, Inc.",20.5,90.834,"822,429"
ACN,Accenture plc.,158.5,39.727,"2,918,722"
ACNB,ACNB Corporation,23.92,65.279,"23,511"
ACOR,Acorda Therapeuti...,0.85,83.869,"2,086,159"
ACRE,Ares Commercial R...,6.04,121.068,"556,453"
ACRS,Aclaris Therapeut...,0.83,68.212,"789,491"
ACRX,AcelRx Pharmaceut...,0.85,72.742,"896,402"
ACST,"Acasti Pharma, Inc.",0.28,85.729,"4,157,113"
ACTG,Acacia Research C...,2.19,23.722,"168,569"
ACTT,Act II Global Acq...,9.41,10.271,"471,395"
ACTTU,Act II Global Acq...,10.59,7.34,"9,241"
ACU,Acme United Corpo...,21.34,28.769,"10,144"
ACV,AllianzGI Diversi...,14.09,76.582,"64,137"
ACY,AeroCentury Corp.,1.36,122.287,"6,114"
ADAP,Adaptimmune Thera...,2.77,55.832,"2,432,372"
ADBE,Adobe Systems Inc...,307.51,30.979,"3,413,766"
ADC,Agree Realty Corp...,51.82,49.697,"529,266"
ADES,Advanced Emission...,5.61,92.32,"176,373"
ADI,"Analog Devices, Inc.",90.32,43.206,"3,058,881"
ADIL,Adial Pharmaceuti...,1.21,44.413,"68,126"
ADM,Archer-Daniels-Mi...,33.46,34.601,"3,662,203"
ADMA,ADMA Biologics Inc,2.11,87.505,"2,110,487"
ADMP,Adamis Pharmaceut...,0.33,83.706,"601,407"
ADMS,Adamas Pharmaceut...,2.42,113.38,"458,931"
ADNT,Adient plc,8.5,137.568,"1,836,181"
ADP,Automatic Data Pr...,117.37,47.391,"2,596,234"
ADPT,Adaptive Biotechn...,22.55,76.842,"1,383,749"
ADRO,"Aduro Biotech, Inc.",2.23,66.585,"1,393,487"
ADS,Alliance Data Sys...,25.38,144.846,"1,190,854"
ADSK,"Autodesk, Inc.",149.23,45.208,"2,109,261"
ADT,ADT Inc.,3.97,75.888,"1,817,315"
ADTN,"ADTRAN, Inc.",6.2,65.35,"313,069"
ADUS,Addus HomeCare Co...,64.1,73.02,"144,389"
ADVM,Adverum Biotechno...,9.36,72.311,"1,656,686"
ADXN,Addex Therapeutic...,7.04,0,307
ADXS,"Advaxis, Inc.",0.56,81.57,"5,276,202"
AE,Adams Resources &...,16.76,78.606,"7,159"
AEB,AEGON N.V. Perp. ...,15.5,63.472,"26,158"
AEE,Ameren Corporation,71.88,27.202,"2,023,029"
AEFC,Aegon Funding Com...,13,74.006,"189,458"
AEG,AEGON N.V.,2.13,90.77,"2,758,263"
AEGN,Aegion Corp,15.43,56.936,"104,508"
AEH,AEGON N.V. Perp. ...,24.99,2.845,"149,988"
AEHR,Aehr Test Systems,1.27,83.702,"117,528"
AEIS,Advanced Energy I...,38.09,67.194,"305,915"
AEL,American Equity I...,12.66,103.86,"611,447"
AEM,Agnico Eagle Mine...,38.94,47.256,"2,384,977"
AEMD,"Aethlon Medical, ...",1.61,95.533,"2,454,695"
AEO,American Eagle Ou...,9.17,70.592,"4,789,362"
AEP,American Electric...,80.81,26.766,"3,544,493"
AER,Aercap Holdings N.V.,17.24,143.15,"1,852,214"
AERI,Aerie Pharmaceuti...,13.21,61.466,"1,010,169"
AES,The AES Corporation,10.99,83.782,"5,015,922"
AESE,Allied Esports En...,1.46,100.689,"74,005"
AEY,ADDvantage Techno...,2.14,126.489,"430,397"
AEYE,"AudioEye, Inc.",2.57,80.825,"19,904"
AEZS,AEterna Zentaris ...,0.47,94.722,"303,487"
AFC,Allied Capital Co...,19.65,40.969,"24,545"
AFG,American Financia...,52.51,84.417,"473,802"
AFGB,American Financia...,18.29,45.656,"17,442"
AFGC,American Financia...,15.79,57.303,"37,240"
AFGE,American Financia...,25.36,0.456,"24,911"
AFGH,American Financia...,19.1,37.942,"19,639"
AFH,Atlas Financial H...,0.35,75.313,"173,364"
AFI,Armstrong Floorin...,2.39,79.076,"207,372"
AFIN,American Finance ...,6.61,105.505,"574,092"
AFINP,American Finance ...,13.7,91.907,"86,016"
AFL,AFLAC Incorporated,26.9,76.185,"4,259,277"
AFMD,Affimed Therapeut...,1.83,71.151,"690,669"
AFYA,Afya Limited,16.67,64.031,"440,066"
AG,First Majestic Si...,5.62,79.739,"5,443,887"
AGBA,AGBA Acquisition ...,10,3.045,"20,334"
AGBAR,AGBA Acquisition ...,0.22,44.126,"12,569"
AGBAU,AGBA Acquisition ...,10.22,2.035,"8,205"
AGCO,AGCO Corporation,44.37,56.428,"624,189"
AGE,AgeX Therapeutics...,0.94,59.35,"92,233"
AGEN,Agenus Inc.,2.05,56.932,"2,195,671"
AGFS,AgroFresh Solutio...,1.32,82.578,"69,455"
AGI,Alamos Gold Inc,5.33,51.8,"3,550,125"
AGIO,Agios Pharmaceuti...,32.75,62.278,"716,877"
AGLE,Aeglea BioTherape...,4.32,85.656,"63,503"
AGM,Federal Agricultu...,51.92,54.273,"55,668"
AGM.A,Federal Agricultu...,46.57,51.074,246
