"","TGT.Close","FTR.Close","UBSI.Close","HD.Close","JPM.Close","XOM.Close","CVX.Close","NSANY.Close","MGM.Close","TEVA.Close","HST.Close","WFC.Close","WWE.Close","INO.Close","SCE.PB.Close","FFIN.Close","GOOG.Close","WM.Close","ONCY.Close","S.Close","F.Close","ARWR.Close","COST.Close","AAL.Close","JWN.Close","NUS.Close","ADDYY.Close","KSS.Close","MSFT.Close","LUV.Close","HMC.Close","PCG.Close","DLTR.Close","KGJI.Close","NKE.Close","AMZN.Close","ROST.Close","WMT.Close","TJX.Close","TM.Close","T.Close","JNJ.Close","C.Close","EPD.Close","VZ.Close","HRB.Close","NFLX.Close","AAP.Close","HOFT.Close","SIG.Close","RRGB.Close","M.Close","JBLU.Close","TGT.Volume","FTR.Volume","UBSI.Volume","HD.Volume","JPM.Volume","XOM.Volume","CVX.Volume","NSANY.Volume","MGM.Volume","TEVA.Volume","HST.Volume","WFC.Volume","WWE.Volume","INO.Volume","SCE.PB.Volume","FFIN.Volume","GOOG.Volume","WM.Volume","ONCY.Volume","S.Volume","F.Volume","ARWR.Volume","COST.Volume","AAL.Volume","JWN.Volume","NUS.Volume","ADDYY.Volume","KSS.Volume","MSFT.Volume","LUV.Volume","HMC.Volume","PCG.Volume","DLTR.Volume","KGJI.Volume","NKE.Volume","AMZN.Volume","ROST.Volume","WMT.Volume","TJX.Volume","TM.Volume","T.Volume","JNJ.Volume","C.Volume","EPD.Volume","VZ.Volume","HRB.Volume","NFLX.Volume","AAP.Volume","HOFT.Volume","SIG.Volume","RRGB.Volume","M.Volume","JBLU.Volume","MonthYear","portfolio_DailyValue","portfolio_prevDay","portfolio_dailyValueChange","portfolio_ROI_dollars","Date","DayOfWeek","Month","Year","UE_monthlyRate","portfolio_DailyVolume","portfolio_prevDayVolume","portfolio_dailyVolumeChange","portfolio_VolumeRatioDaily2Initial","portfolio_ValueRatioDaily2Initial","portfolio_DailyRatios_X_UE","dayOfMonth","portfolio_poisson"
"2007-04-02",59.93,225.75,34.799999,36.790001,48.240002,76.160004,74.830002,21.540001,71.580002,37.41,26.206558,34.009998,16.23,13.32,214,6.898334,228.408875,34.650002,18.809999,19.299999,8.09,44.799999,53.91,45.049999,53.740002,16.5,27.450001,77.489998,27.74,14.75,34.689999,49.439999,12.656667,1.2,13.30375,40.419998,8.58,47.400002,6.77,126.919998,39.459999,60.099998,510.5,15.875,35.316067,21.26,3.354286,38.779999,20.91,50.720001,39.099998,45.060001,11.45,5691300,160200,179000,50853600,14244700,30510700,12719600,216300,1380400,8448200,2407700,12447600,159300,16000,612,206800,15470700,2530700,19600,21562300,78652200,4500,3888100,2955600,5144800,285700,38500,6626900,76935100,7007400,458100,1662400,4521200,0,17299200,12405100,9654000,35687300,19909200,758600,33694300,12845300,2282100,1268000,21445800,3129400,16440900,764200,95700,4700,427000,10278900,6240200,"Apr-2007",2901.649537,2891.962929,9.68660799999998,-76.289072,2007-04-02,"Monday","Apr",2007,4.5,572035712,572035712,0,1,1,4.5,2,0.25773
"2007-04-03",60.82,228.149994,35.110001,37.630001,48.560001,76.800003,75.339996,21.559999,72.580002,37.950001,26.138033,34.509998,16.370001,13.48,214,7.031667,235.417603,34.990002,18.620001,19.4,8.08,47,54.549999,47.869999,54.169998,16.33,27.42,78,27.870001,15.08,35.490002,49.700001,12.87,1.2,13.3,41.189999,8.62,48.099998,6.9025,126.980003,39.740002,60.639999,514.099976,15.955,35.586796,21.370001,3.397143,39,21.93,50.48,40.150002,45.549999,11.86,3237400,146500,85800,22319400,9471500,31046600,10825300,214100,708700,11538700,1942000,11060500,118000,9000,1,172000,15834200,2264700,14800,20546500,63454900,4200,3982700,2614500,4253200,182300,32000,5410700,45774500,7568700,421700,1763300,4615800,0,15085600,6318400,5842400,17073000,18923200,842700,44285400,11262000,1658600,770200,19215800,1359000,15959300,800900,39100,8700,191200,10699000,5690200,"Apr-2007",2934.938721,2901.649537,33.2891840000002,-42.9998879999998,2007-04-03,"Tuesday","Apr",2007,4.5,457658901,572035712,-114376811,0.800053023612624,1.01147250333837,3.641542355686,3,0.25773
"2007-04-04",60.59,226.199997,34.810001,38.110001,48.560001,77.110001,75.550003,21.809999,73.029999,37.98,26.284876,34.34,16.18,13.64,214,6.938334,234.630554,34.73,18.43,19.639999,8.04,46,54.450001,46.490002,54.080002,16.4,27.450001,77.980003,28.5,15.1,36.009998,49.349998,12.756667,1.2,13.3975,41.529999,8.6125,48.049999,6.915,127.739998,39.23,61.290001,513.599976,16.040001,35.493443,21.26,3.504286,38.650002,21.620001,50.299999,40.119999,45.5,11.7,2962000,115300,119200,21676500,10760500,24671500,9618000,323400,926500,9297600,1637200,10329200,149100,5200,1,255600,13795600,2507500,3600,21283400,40562100,7700,3511500,1656300,2665400,194500,26900,3306200,44607200,5059700,782900,3232100,12265400,2500,14996800,6619700,7292800,13556900,13210800,1068400,36561800,8141100,1317800,1411800,19047000,1115400,15190700,781500,45600,2700,388400,10002000,5095600,"Apr-2007",2930.923141,2934.938721,-4.01558000000023,-47.0154680000001,2007-04-04,"Wednesday","Apr",2007,4.5,404164101,457658901,-53494800,0.7065364845613,1.01008860774767,3.21149004306055,4,0.04833
"2007-04-05",61.110001,227.25,34.650002,38.02,48.77,77.220001,75.610001,21.780001,72.07,37.900002,26.324034,34.439999,16.08,13.64,214,6.888333,234.874634,34.529999,18.334999,19.6,8.01,45.939999,54.880001,47.049999,54.130001,16.42,27.9,78.379997,28.549999,15.08,35.490002,49.349998,12.693334,1.02,13.37,41.68,8.6075,48.27,6.9725,126.489998,39.27,61.549999,515.700012,16.035,35.47477,21.18,3.457143,39.560001,20.809999,49.959999,40.040001,46,11.75,2874700,128900,91900,17465300,8239200,25981900,9435100,218800,2079100,10213600,2412500,11650400,197000,19600,1,256800,9544400,2457400,5700,21791600,48938500,9800,2978100,2163200,2271500,118000,20200,4351400,50220200,6256800,422700,1728300,8189000,500,10109600,6783000,5371600,16396400,11903600,511600,40237400,6180400,1236900,1209200,20370800,1525200,18344900,479600,41700,19000,264200,10049900,6401200,"Apr-2007",2934.162258,2930.923141,3.23911700000008,-43.776351,2007-04-05,"Thursday","Apr",2007,4.5,410168301,404164101,6004200,0.717032682393088,1.01120490968514,3.26280135978267,5,0.25773
"2007-04-09",61.380001,228,34.450001,38.080002,49,76.800003,75.489998,21.82,72.57,37.810001,26.206558,34.369999,16.08,13.76,214,6.851666,233.230789,34.43,18.049999,19.27,8.08,48,54.82,47.810001,54.59,16.700001,27.75,78.470001,28.57,15.13,35.299999,49.380001,12.683333,1.2,13.475,41.66,8.5925,48.470001,7.0175,126.290001,39.330002,61.630001,515.799988,16.045,35.47477,21.030001,3.477143,39.48,21.280001,49.779999,39.950001,46.310001,11.91,3820200,351800,122500,20341100,9276700,27039900,10500000,147700,2624100,8120300,3175200,10159800,185500,25900,2,169600,10803000,3121500,12000,149152200,56732200,16200,3211500,2098600,2066900,143400,22500,3673700,44636600,7097100,228600,1850900,3730400,0,15167200,5703000,5785600,14643200,8499600,645700,40082600,7147100,1963000,1295200,16281300,2181000,10611300,506800,36900,14700,277700,8865300,5695400,"Apr-2007",2937.134262,2934.162258,2.9720040000002,-40.8043469999998,2007-04-09,"Monday","Apr",2007,4.5,530060202,410168301,119891901,0.926620822582489,1.01222915605331,4.22078675950845,9,0.25773
"2007-04-10",60.560001,231.300003,34.470001,38.23,49.240002,77.57,77.040001,21.6,71.769997,37.990002,26.177191,34.41,16.15,13.76,214,6.895,232.378983,34.630001,17.860001,19.33,8.19,49,54.669998,45.84,54.91,16.48,28.5,77.75,28.4,15.01,34.759998,50.049999,12.856667,1.2,13.5025,41.860001,8.58,47.939999,6.9825,126.489998,39.450001,61.669998,524,16.025,35.288059,21.01,3.551429,39.790001,21.17,49.919998,40.52,45.73,11.73,3369900,129500,110400,15324600,15597000,30572000,11936700,157700,2481900,4135600,3509700,9801800,206000,19300,1,76800,11981700,2570100,6700,75885200,42397100,11300,3842600,3892200,1968100,162500,37600,3241900,55017400,9463100,591500,3009200,2441000,0,13012800,6527500,4322800,13348100,6930800,726200,29964300,6528700,1744800,957600,14750200,3569600,11448500,335700,30000,4100,268000,4737800,5419600,"Apr-2007",2948.187329,2937.134262,11.0530669999998,-29.75128,2007-04-10,"Tuesday","Apr",2007,4.5,438575201,530060202,-91485001,0.766691994572535,1.01603839175151,3.50544825510407,10,0.25773
"2007-04-11",59.68,231.899994,33.919998,37.970001,49.150002,76.769997,76.559998,21.17,71.07,37.610001,25.893293,34.169998,16.82,14.2,232,6.833333,231.397659,34.290001,18.334999,19.18,8.13,49.5,54.029999,45.009998,54.849998,15.8,28.75,77.199997,28.110001,15.24,33.98,49.939999,12.79,1.2,13.4975,41.68,8.45,47.27,6.955,124.540001,38.939999,61.889999,518,16.135,34.895969,20.879999,3.514286,40.150002,20.92,49.959999,39.580002,44.860001,11.51,4874200,167100,153100,12149100,8049200,29161700,12407200,162900,7090300,4141900,4769600,7089700,227400,16400,46,196000,14470400,2829000,8100,43265400,40020800,7700,3427300,2561300,2655600,199900,28100,2501500,99464300,11504200,894500,1687300,2887200,100,14316000,6465600,5246800,14823200,10288800,803900,24335100,6371500,1447700,1116200,9740700,2037500,9130100,575700,41500,14300,306500,5895500,7412800,"Apr-2007",2947.077023,2948.187329,-1.11030600000004,-30.861586,2007-04-11,"Wednesday","Apr",2007,4.5,439437946,438575201,862745,0.768200195864695,1.01565574526515,3.51102124099704,11,0.04833
"2007-04-12",59.950001,231.75,34.110001,38.02,49.200001,77.389999,77.169998,21.18,71.889999,37.099998,25.736662,34.34,16.879999,14.16,256,6.948333,232.822327,34.16,18.43,19.799999,8.09,52.5,54.68,44.119999,55.610001,15.97,28.950001,77.980003,28.540001,15.2,34.220001,49.790001,13.086667,1.2,13.5575,42.27,8.4975,47.259998,6.97,124.400002,38.66,61.919998,516.5,16.235001,34.886635,20.860001,3.514286,39.950001,20.92,50.32,39.299999,45.400002,11.24,5133500,118500,140900,11218600,10646700,24438700,9345000,189500,4208800,4037700,3300800,10251800,246700,9600,841,66400,8980800,1894100,5000,44551400,57053800,13100,3538600,1759800,3341500,97300,30400,2090000,103972500,10524100,705100,1204300,4113200,100,9296800,4466400,6345200,13910800,16229200,498500,20216700,6189400,1842900,906800,12502700,2460300,22171100,1123000,18200,3500,204400,3992700,5658400,"Apr-2007",2979.634914,2947.077023,32.5578910000004,1.69630500000039,2007-04-12,"Thursday","Apr",2007,4.5,455266141,439437946,15828195,0.795870137911949,1.02687622195775,3.67767054174605,12,0.25773
"2007-04-13",59.650002,229.800003,34.450001,37.889999,49.09,77.410004,77.010002,20.84,72.540001,37.139999,25.9814,34.630001,16.610001,14.2,256,6.965,232.274384,33.98,18.43,19.93,8.02,53.09,54.16,45.23,54.919998,16.469999,29.5,77.239998,28.610001,15.16,33.880001,49.889999,12.876667,1.2,13.4125,42.41,8.3975,47.41,6.98,121.519997,38.84,62.349998,516,15.955,34.905308,20.92,3.514286,39.650002,21,49.720001,39.389999,45.099998,11.19,4575800,99000,174800,12639900,8696500,25444400,8281700,179400,4976300,6697300,3974300,15186000,120800,17400,1,226800,15194500,1875100,7900,33615200,66699800,21600,3041900,1722600,1625800,238300,22400,2419000,62379600,11919300,1095900,1105600,3107000,0,9264800,5643700,4578000,14482400,10838400,641200,16349700,7963700,1255100,1602400,12128100,1842200,30134300,1185300,45400,5900,146000,4568800,10557400,"Apr-2007",2973.732049,2979.634914,-5.90286500000002,-4.20655999999963,2007-04-13,"Friday","Apr",2007,4.5,430614701,455266141,-24651440,0.752775905361657,1.02484190839757,3.47164332950946,13,0.04833
"2007-04-16",60.169998,231.300003,35.209999,38.560001,49.970001,78.169998,77.870003,20.809999,72.050003,36.939999,26.255507,35.509998,16.34,14.36,256,7.065,236.249481,34.299999,18.525,20.200001,8.03,54.5,54.400002,45.34,55.48,17,29.549999,76.769997,28.73,15.29,34.34,49.82,12.956667,1.2,13.5925,45.200001,8.6875,48.07,7.0875,122.730003,39.259998,63.02,529.299988,16.040001,35.353409,21.33,3.502857,40.25,21.17,50.080002,41.970001,45.400002,11.18,5104600,146900,250500,12729000,16291400,31292200,10545100,343400,2453000,4201200,2823000,11854100,321600,5700,1,118000,13448300,2676300,4000,38277200,63728700,9300,4804700,2097900,1663700,163100,38400,2230400,58519600,17090700,608200,750200,1709600,0,10762400,5026800,5279600,11305400,21247200,641100,17907600,9189900,1404500,1175400,11809700,1224900,15204000,916900,34400,6300,258200,3365700,8033600,"Apr-2007",3012.485417,2973.732049,38.7533679999997,34.5468080000001,2007-04-16,"Monday","Apr",2007,4.5,431093601,430614701,478900,0.753613090855418,1.03819754197972,3.52079666338427,16,0.25773
