"","TGT.Close","TGT.Volume","FTR.Close","FTR.Volume","UBSI.Close","UBSI.Volume","HD.Close","HD.Volume","JPM.Close","JPM.Volume","XOM.Close","XOM.Volume","CVX.Close","CVX.Volume","NSANY.Close","NSANY.Volume","GNBT.Close","GNBT.Volume","MGM.Close","MGM.Volume","TEVA.Close","TEVA.Volume","HST.Close","HST.Volume","FCAU.Close","FCAU.Volume","WFC.Close","WFC.Volume","WWE.Close","WWE.Volume","INO.Close","INO.Volume","QSR.Close","QSR.Volume","GRPN.Close","GRPN.Volume","SCE.PB.Close","SCE.PB.Volume","FFIN.Close","FFIN.Volume","GOOG.Close","GOOG.Volume","WM.Close","WM.Volume","ONCY.Close","ONCY.Volume","S.Close","S.Volume","GM.Close","GM.Volume","F.Close","F.Volume","ASCCY.Close","ASCCY.Volume","ARWR.Close","ARWR.Volume","COST.Close","COST.Volume","AAL.Close","AAL.Volume","JWN.Close","JWN.Volume","CSSEP.Close","CSSEP.Volume","NUS.Close","NUS.Volume","AMC.Close","AMC.Volume","ADDYY.Close","ADDYY.Volume","KSS.Close","KSS.Volume","MSFT.Close","MSFT.Volume","LUV.Close","LUV.Volume","HMC.Close","HMC.Volume","PCG.Close","PCG.Volume","DLTR.Close","DLTR.Volume","KGJI.Close","KGJI.Volume","NKE.Close","NKE.Volume","AMZN.Close","AMZN.Volume","ROST.Close","ROST.Volume","TMUS.Close","TMUS.Volume","WMT.Close","WMT.Volume","TJX.Close","TJX.Volume","TM.Close","TM.Volume","PBYI.Close","PBYI.Volume","T.Close","T.Volume","JNJ.Close","JNJ.Volume","C.Close","C.Volume","EPD.Close","EPD.Volume","VZ.Close","VZ.Volume","HRB.Close","HRB.Volume","NFLX.Close","NFLX.Volume","AAP.Close","AAP.Volume","HOFT.Close","HOFT.Volume","SIG.Close","SIG.Volume","SDC.Close","SDC.Volume","RRGB.Close","RRGB.Volume","M.Close","M.Volume","JBLU.Close","JBLU.Volume","YELP.Close","YELP.Volume"
"2007-01-03",57.18,5691300,215.399994,160200,39.049999,179000,41.07,50853600,48.07,14244700,74.110001,30510700,70.970001,12719600,24.16,216300,NA,NA,57.57,1380400,31.26,8448200,24.043074,2407700,NA,NA,35.740002,12447600,16.18,159300,13.16,16000,NA,NA,NA,NA,20.25,400,6.996666,206800,232.921951,15470700,37.029999,2530700,21.945,19600,19.040001,21562300,NA,NA,7.51,78652200,NA,NA,44,4500,52.84,3888100,56.299999,2955600,51.389999,5144800,NA,NA,18.540001,285700,NA,NA,25,38500,67.080002,6626900,29.860001,76935100,15.52,7007400,39.709999,458100,47.27,1662400,10.23,4521200,1.1,0,12.20875,17299200,38.700001,12405100,7.6225,9654000,NA,NA,47.549999,35687300,7.1675,19909200,135.300003,758600,NA,NA,34.950001,33694300,66.400002,12845300,552.5,2282100,14.485,1268000,35.306732,21445800,23.200001,3129400,3.801429,16440900,35.580002,764200,15.47,95700,47.740002,4700,NA,NA,35,427000,37.509998,10278900,15.2,6240200,NA,NA
"2007-01-04",57.59,3237400,212.25,146500,39.139999,85800,40.57,22319400,48.189999,9471500,72.720001,31046600,70.279999,10825300,24.559999,214100,NA,NA,57.099998,708700,31.639999,11538700,23.984337,1942000,NA,NA,35.799999,11060500,16.290001,118000,13.2,9000,NA,NA,NA,NA,20.25,0,7.105,172000,240.727692,15834200,36.57,2264700,22.325001,14800,19.65,20546500,NA,NA,7.7,63454900,NA,NA,44.200001,4200,54.07,3982700,58.84,2614500,52.259998,4253200,NA,NA,18.51,182300,NA,NA,25,32000,67.68,5410700,29.809999,45774500,15.76,7568700,40.040001,421700,46.619999,1763300,10.216666,4615800,1.1,0,12.33375,15085600,38.900002,6318400,7.8025,5842400,NA,NA,47.779999,17073000,7.43,18923200,137.770004,842700,NA,NA,34.5,44285400,67.230003,11262000,550.599976,1658600,14.4,770200,35.502777,19215800,23.280001,1359000,3.621428,15959300,35.810001,800900,15.17,39100,47.700001,8700,NA,NA,34.790001,191200,37.310001,10699000,15.38,5690200,NA,NA
"2007-01-05",57.27,2962000,211.649994,115300,37.82,119200,39.790001,21676500,47.790001,10760500,73.239998,24671500,70.550003,9618000,24.26,323400,NA,NA,56.900002,926500,32.209999,9297600,23.465492,1637200,NA,NA,35.599998,10329200,16.09,149100,13.2,5200,NA,NA,NA,NA,20.25,0,6.836667,255600,242.685349,13795600,35.98,2507500,22.23,3600,19.209999,21283400,NA,NA,7.62,40562100,NA,NA,44,7700,53.41,3511500,58.290001,1656300,51.279999,2665400,NA,NA,18.02,194500,NA,NA,24.5,26900,66.800003,3306200,29.639999,44607200,15.5,5059700,38.669998,782900,45.490002,3232100,10.676666,12265400,1.6,2500,12.35375,14996800,38.369999,6619700,7.8525,7292800,NA,NA,47.389999,13556900,7.27,13210800,133.720001,1068400,NA,NA,33.959999,36561800,66.620003,8141100,547.700012,1317800,14.255,1411800,34.895969,19047000,22.950001,1115400,3.544286,15190700,35.02,781500,14.93,45600,47.98,2700,NA,NA,33.790001,388400,36.889999,10002000,14.99,5095600,NA,NA
"2007-01-08",57.349998,2874700,212.25,128900,37.959999,91900,39.490002,17465300,47.950001,8239200,72.650002,25981900,71.449997,9435100,24.4,218800,NA,NA,59.799999,2079100,32.880001,10213600,23.387177,2412500,NA,NA,35.5,11650400,16.190001,197000,13.2,19600,NA,NA,NA,NA,20.25,0,6.84,256800,240.8871,9544400,36.07,2457400,23.370001,5700,19.639999,21791600,NA,NA,7.73,48938500,NA,NA,43.200001,9800,53.630001,2978100,57.93,2163200,51.549999,2271500,NA,NA,18.139999,118000,NA,NA,24.200001,20200,66.25,4351400,29.93,50220200,15.78,6256800,38.889999,422700,45.93,1728300,10.67,8189000,1.42,500,12.31625,10109600,37.5,6783000,7.8975,5371600,NA,NA,47,16396400,7.2225,11903600,133.970001,511600,NA,NA,33.810001,40237400,66.510002,6180400,550.5,1236900,14.425,1209200,34.36385,20370800,23.27,1525200,3.404286,18344900,35.139999,479600,14.94,41700,48.200001,19000,NA,NA,33.700001,264200,37.599998,10049900,15.14,6401200,NA,NA
"2007-01-09",58.259998,3820200,211.050003,351800,37.619999,122500,39.32,20341100,47.75,9276700,72.089996,27039900,70.629997,10500000,24.33,147700,NA,NA,61.040001,2624100,32.82,8120300,23.671072,3175200,NA,NA,35.59,10159800,16.08,185500,13.52,25900,NA,NA,NA,NA,20.25,100,6.82,169600,241.843506,10803000,35.689999,3121500,24.51,12000,17.450001,149152200,NA,NA,7.79,56732200,NA,NA,41,16200,54.029999,3211500,57.900002,2098600,52.110001,2066900,NA,NA,18.33,143400,NA,NA,24.200001,22500,66.650002,3673700,29.959999,44636600,15.81,7097100,38.91,228600,46.150002,1850900,10.653334,3730400,1.42,0,12.47,15167200,37.779999,5703000,7.995,5785600,NA,NA,47.389999,14643200,7.3175,8499600,132.160004,645700,NA,NA,33.939999,40082600,66.260002,7147100,545.700012,1963000,14.29,1295200,34.50388,16281300,23.48,2181000,3.427143,10611300,35.439999,506800,14.91,36900,48.279999,14700,NA,NA,33.970001,277700,38.849998,8865300,15.21,5695400,NA,NA
"2007-01-10",58.310001,3369900,210.600006,129500,37.34,110400,39.779999,15324600,48.099998,15597000,70.989998,30572000,69.410004,11936700,24,157700,NA,NA,63.610001,2481900,32.889999,4135600,23.72002,3509700,NA,NA,35.48,9801800,15.99,206000,13.48,19300,NA,NA,NA,NA,20.25,0,6.8,76800,243.816116,11981700,36.68,2570100,25.459999,6700,17.85,75885200,NA,NA,7.73,42397100,NA,NA,39.98,11300,54.41,3842600,58.93,3892200,52.360001,1968100,NA,NA,18.08,162500,NA,NA,24.049999,37600,67.620003,3241900,29.66,55017400,16.049999,9463100,37.939999,591500,46.77,3009200,10.67,2441000,1.42,0,12.47,13012800,37.150002,6527500,8.03,4322800,NA,NA,47.279999,13348100,7.3725,6930800,129.429993,726200,NA,NA,34.029999,29964300,66.150002,6528700,541.299988,1744800,14.27,957600,34.307838,14750200,23.969999,3569600,3.438571,11448500,35.490002,335700,14.89,30000,47.439999,4100,NA,NA,34.360001,268000,38.82,4737800,15.87,5419600,NA,NA
"2007-01-11",59.810001,4874200,212.25,167100,37.389999,153100,40.080002,12149100,48.310001,8049200,70.980003,29161700,68.690002,12407200,24.030001,162900,NA,NA,68.550003,7090300,32.630001,4141900,24.33676,4769600,NA,NA,35.540001,7089700,16.360001,227400,13.6,16400,NA,NA,NA,NA,21,1100,6.916667,196000,248.926956,14470400,37.040001,2829000,25.555,8100,17.440001,43265400,NA,NA,7.77,40020800,NA,NA,40.360001,7700,55.32,3427300,61.200001,2561300,53.529999,2655600,NA,NA,18.23,199900,NA,NA,24.15,28100,68.080002,2501500,30.700001,99464300,16.15,11504200,38,894500,46.900002,1687300,10.696667,2887200,1.36,100,12.4975,14316000,37.400002,6465600,8.035,5246800,NA,NA,47.599998,14823200,7.485,10288800,128.779999,803900,NA,NA,34.490002,24335100,66.730003,6371500,541.700012,1447700,14.23,1116200,34.643913,9740700,24.43,2037500,3.462857,9130100,36.400002,575700,15.2,41500,47.5,14300,NA,NA,34.860001,306500,39.330002,5895500,16.09,7412800,NA,NA
"2007-01-12",60.310001,5133500,213,118500,37.279999,140900,40.110001,11218600,47.990002,10646700,72.660004,24438700,70.349998,9345000,24.1,189500,NA,NA,67.75,4208800,32.73,4037700,24.405287,3300800,NA,NA,35.509998,10251800,16.450001,246700,13.56,9600,NA,NA,NA,NA,21.5,700,6.875,66400,251.557098,8980800,36.900002,1894100,25.27,5000,17.25,44551400,NA,NA,7.89,57053800,NA,NA,40.27,13100,55.950001,3538600,60.810001,1759800,54.810001,3341500,NA,NA,18.24,97300,NA,NA,24.4,30400,68.25,2090000,31.209999,103972500,16.219999,10524100,38.5,705100,46.18,1204300,10.7,4113200,1.3,100,12.47,9296800,38.200001,4466400,8.3225,6345200,NA,NA,47.98,13910800,7.485,16229200,130.889999,498500,NA,NA,34.73,20216700,66.639999,6189400,543.799988,1842900,14.255,906800,34.849293,12502700,24.629999,2460300,3.244286,22171100,36.200001,1123000,15.41,18200,48.040001,3500,NA,NA,34.779999,204400,39.240002,3992700,16.57,5658400,NA,NA
"2007-01-16",60.84,4575800,215.100006,99000,36.77,174800,40.290001,12639900,48.389999,8696500,71.629997,25444400,69.669998,8281700,23.959999,179400,NA,NA,69.129997,4976300,32.900002,6697300,24.52276,3974300,NA,NA,36.23,15186000,16.33,120800,13.4,17400,NA,NA,NA,NA,21.5,0,6.861667,226800,251.198441,15194500,36.93,1875100,25.459999,7900,17.15,33615200,NA,NA,7.94,66699800,NA,NA,40.900002,21600,56.240002,3041900,61.959999,1722600,54.959999,1625800,NA,NA,18.15,238300,NA,NA,24.5,22400,67.940002,2419000,31.16,62379600,16.57,11919300,38.740002,1095900,46.169998,1105600,10.666667,3107000,1.3,0,12.49625,9264800,38.66,5643700,8.3425,4578000,NA,NA,48.310001,14482400,7.4625,10838400,131.210007,641200,NA,NA,34.630001,16349700,66.540001,7963700,547.700012,1255100,14.405,1602400,34.69059,12128100,24.68,1842200,3.248571,30134300,36.200001,1185300,15.33,45400,47.52,5900,NA,NA,34.779999,146000,39.130001,4568800,16.620001,10557400,NA,NA
"2007-01-17",60.360001,5104600,213.300003,146900,36.349998,250500,40.290001,12729000,48.43,16291400,72.459999,31292200,70.82,10545100,23.93,343400,NA,NA,68.190002,2453000,32.880001,4201200,24.659815,2823000,NA,NA,36.27,11854100,16.34,321600,13.04,5700,NA,NA,NA,NA,21.5,0,6.77,118000,247.711517,13448300,36.959999,2676300,25.745001,4000,17,38277200,NA,NA,8.04,63728700,NA,NA,42.099998,9300,56.68,4804700,58.650002,2097900,54.599998,1663700,NA,NA,17.950001,163100,NA,NA,24.4,38400,67.980003,2230400,31.1,58519600,15.9,17090700,38.41,608200,46.259998,750200,10.543333,1709600,1.3,0,12.4775,10762400,37.880001,5026800,8.275,5279600,NA,NA,48.200001,11305400,7.4075,21247200,131.100006,641100,NA,NA,34.490002,17907600,66.870003,9189900,543.900024,1404500,14.6,1175400,34.429199,11809700,24.700001,1224900,3.261429,15204000,36.349998,916900,15.31,34400,47.799999,6300,NA,NA,34.279999,258200,38.91,3365700,15.71,8033600,NA,NA
