"Date","AAL","ARWR","C","CVX","EPD","F","FTR","HMC","HOFT","HRB","HST","INO","JBLU","JPM","JWN","KGJI","KSS","LUV","M","MGM","MSFT","NSANY","NUS","ONCY","RRGB","S","SCE","SIG","T","TGT","TM","UBSI","VZ","WFC","WM","WWE"
2007-01-03,56.299999,44,552.5,70.970001,14.485,7.51,215.399994,39.709999,15.47,23.200001,24.043074,13.16,15.2,48.07,51.389999,1.1,67.080002,15.52,37.509998,57.57,29.860001,24.16,18.540001,21.945,35,19.040001,280,47.740002,34.950001,57.18,135.300003,39.049999,35.306732,35.740002,37.029999,16.18
2007-01-04,58.84,44.200001,550.599976,70.279999,14.4,7.7,212.25,40.040001,15.17,23.280001,23.984337,13.2,15.38,48.189999,52.259998,1.1,67.68,15.76,37.310001,57.099998,29.809999,24.559999,18.51,22.325001,34.790001,19.65,280,47.700001,34.5,57.59,137.770004,39.139999,35.502777,35.799999,36.57,16.290001
2007-01-05,58.290001,44,547.700012,70.550003,14.255,7.62,211.649994,38.669998,14.93,22.950001,23.465492,13.2,14.99,47.790001,51.279999,1.6,66.800003,15.5,36.889999,56.900002,29.639999,24.26,18.02,22.23,33.790001,19.209999,280,47.98,33.959999,57.27,133.720001,37.82,34.895969,35.599998,35.98,16.09
2007-01-08,57.93,43.200001,550.5,71.449997,14.425,7.73,212.25,38.889999,14.94,23.27,23.387177,13.2,15.14,47.950001,51.549999,1.42,66.25,15.78,37.599998,59.799999,29.93,24.4,18.139999,23.370001,33.700001,19.639999,280,48.200001,33.810001,57.349998,133.970001,37.959999,34.36385,35.5,36.07,16.190001
2007-01-09,57.900002,41,545.700012,70.629997,14.29,7.79,211.050003,38.91,14.91,23.48,23.671072,13.52,15.21,47.75,52.110001,1.42,66.650002,15.81,38.849998,61.040001,29.959999,24.33,18.33,24.51,33.970001,17.450001,280,48.279999,33.939999,58.259998,132.160004,37.619999,34.50388,35.59,35.689999,16.08
2007-01-10,58.93,39.98,541.299988,69.410004,14.27,7.73,210.600006,37.939999,14.89,23.969999,23.72002,13.48,15.87,48.099998,52.360001,1.42,67.620003,16.049999,38.82,63.610001,29.66,24,18.08,25.459999,34.360001,17.85,280,47.439999,34.029999,58.310001,129.429993,37.34,34.307838,35.48,36.68,15.99
2007-01-11,61.200001,40.360001,541.700012,68.690002,14.23,7.77,212.25,38,15.2,24.43,24.33676,13.6,16.09,48.310001,53.529999,1.36,68.080002,16.15,39.330002,68.550003,30.700001,24.030001,18.23,25.555,34.860001,17.440001,400,47.5,34.490002,59.810001,128.779999,37.389999,34.643913,35.540001,37.040001,16.360001
2007-01-12,60.810001,40.27,543.799988,70.349998,14.255,7.89,213,38.5,15.41,24.629999,24.405287,13.56,16.57,47.990002,54.810001,1.3,68.25,16.219999,39.240002,67.75,31.209999,24.1,18.24,25.27,34.779999,17.25,468,48.040001,34.73,60.310001,130.889999,37.279999,34.849293,35.509998,36.900002,16.450001
2007-01-16,61.959999,40.900002,547.700012,69.669998,14.405,7.94,215.100006,38.740002,15.33,24.68,24.52276,13.4,16.620001,48.389999,54.959999,1.3,67.940002,16.57,39.130001,69.129997,31.16,23.959999,18.15,25.459999,34.779999,17.15,468,47.52,34.630001,60.84,131.210007,36.77,34.69059,36.23,36.93,16.33
2007-01-17,58.650002,42.099998,543.900024,70.82,14.6,8.04,213.300003,38.41,15.31,24.700001,24.659815,13.04,15.71,48.43,54.599998,1.3,67.980003,15.9,38.91,68.190002,31.1,23.93,17.950001,25.745001,34.279999,17,468,47.799999,34.490002,60.360001,131.100006,36.349998,34.429199,36.27,36.959999,16.34
