"Year","Annual_UE","stock","stockInfo","stockExchange","stock5yrMeans","YearMeanValue","Direction5yr10PercentChange","nTimesDecr10_5yr","nTimesIncr10_5yr","nTimesDecrFromZero_5yrs","nTimesIncrFromZero_5yrs","YearMeanGreaterThan5yrMean"
2015,5.28,"JBLU","JetBlue Airways Corporation (JBLU)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",19.6615883299158,21.4940476230159,"0",1,0,2,2,1
2015,5.28,"COST","Costco Wholesale Corporation (COST)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",207.238222252366,147.835357174603,"0",0,3,0,2,0
2015,5.28,"CVX","Chevron Corporation (CVX)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",110.440072177818,96.3625793293651,"0",0,1,2,2,0
2015,5.28,"NUS","Nu Skin Enterprises, Inc. (NUS)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",52.0492748184326,46.1096030992063,"0",2,2,0,1,0
2015,5.28,"HD","The Home Depot, Inc. (HD)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",170.802718858724,116.382460198413,"0",0,3,0,2,0
2015,5.28,"AAL","American Airlines Group Inc. (AAL)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",38.6737054883561,45.122103281746,"0",3,1,1,0,1
2015,5.28,"MSFT","Microsoft Corporation (MSFT)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",94.8954482158456,46.7142857738095,"0",0,5,0,0,0
2015,5.28,"WFC","Wells Fargo & Company (WFC)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",52.1354323993813,54.775555484127,"0",2,1,0,2,1
2015,5.28,"AAP","Advance Auto Parts, Inc. (AAP)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",147.886972418024,163.64726184127,"0",1,2,2,0,1
2015,5.28,"DLTR","Dollar Tree, Inc. (DLTR)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",87.6758774193728,74.9722620952381,"0",1,3,1,0,0
2015,5.28,"MGM","MGM Resorts International (MGM)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",27.7943314907776,20.8232936071429,"0",0,3,2,0,0
2015,5.28,"KGJI","Kingold Jewelry, Inc. (KGJI)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",1.31737697358713,0.86531746031746,"0",2,2,0,1,0
2015,5.28,"PCG","PG&E Corporation (PCG)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",40.9263597885073,52.8376984206349,"0",3,1,0,1,1
2015,5.28,"HRB","H&R Block, Inc. (HRB)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",26.6604071315505,33.5730555952381,"0",1,0,2,2,1
2015,5.28,"HMC","Honda Motor Co., Ltd. (HMC)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",29.4053807895323,32.6697619920635,"0",2,0,0,3,1
2015,5.28,"EPD","Enterprise Products Partners L.P. (EPD)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",27.7199511831326,29.9369047380952,"0",1,0,1,3,1
2015,5.28,"JPM","JPMorgan Chase & Co. (JPM)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",97.0635266907344,63.8294840873016,"0",0,3,0,2,0
2015,5.28,"ADDYY","adidas AG (ADDYY)
Other OTC - Other OTC Delayed Price. Currency in USD","Other OTC",105.694756240604,40.5471824920635,"0",0,5,0,0,0
2015,5.28,"HOFT","Hooker Furniture Corporation (HOFT)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",29.9153385082237,23.4655952301587,"0",1,2,2,0,0
2015,5.28,"C","Citigroup Inc. (C)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",63.6453837411413,53.2768651230159,"0",1,2,1,1,0
2015,5.28,"F","Ford Motor Company (F)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",11.3671494708995,15.0027380952381,"0",3,0,2,0,1
2015,5.28,"NFLX","Netflix, Inc. (NFLX)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",224.382641734833,91.8956744087302,"0",0,3,0,2,0
2015,5.28,"AMZN","Amazon.com, Inc. (AMZN)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",1243.49690606713,478.138295126984,"0",0,3,0,2,0
2015,5.28,"ONCY","Oncolytics Biotech Inc. (ONCY)
NasdaqCM - NasdaqCM Real Time Price. Currency in USD","Nasdaq",3.68625059286663,5.32150793650794,"0",2,3,0,0,1
2015,5.28,"NSANY","Nissan Motor Co., Ltd. (NSANY)
Other OTC - Other OTC Delayed Price. Currency in USD","Other OTC",17.2846980173222,19.8959524007937,"0",2,0,2,1,1
2015,5.28,"RRGB","Red Robin Gourmet Burgers, Inc. (RRGB)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",50.662259620871,79.3992063571429,"0",3,0,0,2,1
2015,5.28,"TGT","Target Corporation (TGT)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",82.904471348242,78.1561112896825,"0",1,3,1,0,0
