"Stock","stock5yrMeans","Year","YearMeanValue","Direction5yr10PercentChange","nTimesDecr10_5yr","nTimesIncr10_5yr","nTimesDecrFromZero_5yrs","nTimesIncrFromZero_5yrs"
"AAL.Close",38.6737054883561,2015,45.122103281746,"",3,1,1,NA
"AAL.Close",38.6737054883561,2016,38.1838491230159,"down10",3,1,1,NA
"AAL.Close",38.6737054883561,2017,47.4907172151394,"up10",3,1,1,NA
"AAL.Close",38.6737054883561,2018,42.8019521792829,"down",3,1,1,NA
"AAL.Close",38.6737054883561,2019,30.8793255119048,"down10",3,1,1,NA
"AAL.Close",38.6737054883561,2020,27.5642856190476,"down10",3,1,1,NA
"AAP.Close",147.886972418024,2015,163.64726184127,"",1,2,2,NA
"AAP.Close",147.886972418024,2016,155.488135111111,"down",1,2,2,NA
"AAP.Close",147.886972418024,2017,122.574860701195,"down10",1,2,2,NA
"AAP.Close",147.886972418024,2018,139.247569350598,"up10",1,2,2,NA
"AAP.Close",147.886972418024,2019,158.543055503968,"up10",1,2,2,NA
"AAP.Close",147.886972418024,2020,147.820952,"down",1,2,2,NA
"ADDYY.Close",105.694756240604,2015,40.5471824920635,"",NA,5,NA,NA
"ADDYY.Close",105.694756240604,2016,69.1715079523809,"up10",NA,5,NA,NA
"ADDYY.Close",105.694756240604,2017,100.01852587251,"up10",NA,5,NA,NA
"ADDYY.Close",105.694756240604,2018,114.792947920319,"up10",NA,5,NA,NA
"ADDYY.Close",105.694756240604,2019,140.856944444444,"up10",NA,5,NA,NA
"ADDYY.Close",105.694756240604,2020,168.781428761905,"up10",NA,5,NA,NA
"AMZN.Close",1243.49690606713,2015,478.138295126984,"",NA,3,NA,2
"AMZN.Close",1243.49690606713,2016,699.523134861111,"up10",NA,3,NA,2
"AMZN.Close",1243.49690606713,2017,968.167011645418,"up10",NA,3,NA,2
"AMZN.Close",1243.49690606713,2018,1641.72617584861,"up10",NA,3,NA,2
"AMZN.Close",1243.49690606713,2019,1789.18920606349,"up",NA,3,NA,2
"AMZN.Close",1243.49690606713,2020,1884.23761285714,"up",NA,3,NA,2
"ARWR.Close",17.9777560280861,2015,6.47234126984127,"",2,3,NA,NA
"ARWR.Close",17.9777560280861,2016,5.18063492063492,"down10",2,3,NA,NA
